100000763;IRIAN OCCIDENTALE
100000764;ISOLE VERGINI
100000765;LA REUNION
100000766;MACQUARIE
100000767;MALAYSIA
100000768;MALVINE
100000769;MAN
100000770;MARCUS
100000771;MARIANNE
100000772;MARSHALL
100000773;MARTINICA
100000774;MAYOTTE
100000775;MICRONESIA STATI FEDERALI
100000776;MIDWAY
100000777;MONTSERRAT
100000778;NORFOLK
100000779;NORMANNE
100000780;NUOVA CALEDONIA
100000781;NUOVA GUINEA
100000782;NUOVE EBRIDI
100000783;PALAU REPUBBLICA
100000784;PANAMA ZONA DEL CANALE
100000785;PASQUA
100000786;PITCAIRN
100000787;POLINESIA
100000788;PRINCIPE
100000789;PROTETTORATO DELLA ARABIA MERIDIONALE
100000790;PUERTO RICO
100000793;URSS
100000794;RYUKYU
100000795;SAHARA SPAGNOLO
100000796;SAINT PIERRE ET MIQUELON
100000797;SAINT VINCENT E GRENADINE
100000798;SAMOA AMERICANE
100000799;SANT ELENA
100000800;SAVAGE
100000801;SIKKIM
100000802;SOMALIA FRANCESE
100000803;TANGANICA
100000804;TERRITORIO DI GAZA
100000805;TIMOR
100000806;TOKELAU
100000808;TRANSKEI
100000810;TURKS
100000811;VENDA
100000812;VERGINI BRITANNICHE (ISOLE)
100000813;VIETNAM DEL NORD
100000814;VIETNAM DEL SUD
100000815;WALLIS
100000816;YEMEN REP. DEM. POPOLARE
100000817;ZANZIBAR
100000998;REPUBBLICA DEMOCRATICA DEL CONGO
100000999;APOLIDE
100001000;SERBIA
100001001;MONTENEGRO
100001002;KOSOVO
110000001;PALESTINA
110000002;CANARIE ISOLE
110000003;MACAO
110000004;GIBILTERRA
110000005;HONG KONG
110000006;IRAN-ETNIA CURDA
110000007;IRAQ-ETNIA CURDA
110000008;SIRIA-ETNIA CURDA
110000009;TURCHIA-ETNIA CURDA
110000010;JUGOSLAVIA ETNIA KOSSOVARA
110000011;NAZ. BRITANNICO(OLTREMARE)-HONG KONG
